Term, TermFreq >= 1, PosClassDiff (correct-estimate), NegClassDiff, PosClassAvDiff, NegClassAvDiff, CorrectClass1pos, CorrectClass2pos, CorrectClass3pos, CorrectClass4pos, CorrectClass5pos, CorrectClass1neg, CorrectClass2neg, CorrectClass3neg, CorrectClass4neg, CorrectClass5neg, ,
en,6,1,0,0,0,5,1,0,0,0,5,1,0,0,0, ,
etc,6,1,0,0,0,3,2,1,0,0,3,2,1,0,0, ,
lines,6,1,0,0,0,1,5,0,0,0,4,1,1,0,0, ,
makes,6,1,0,0,0,4,2,0,0,0,5,1,0,0,0, ,
master,6,1,0,0,0,3,3,0,0,0,4,1,1,0,0, ,
oh,6,1,0,0,0,0,2,4,0,0,5,1,0,0,0, ,
page,6,1,0,0,0,4,2,0,0,0,5,1,0,0,0, ,
search,6,1,0,0,0,3,3,0,0,0,6,0,0,0,0, ,
show,6,1,0,0,0,4,2,0,0,0,5,1,0,0,0, ,
their,6,1,0,0,0,3,3,0,0,0,4,1,1,0,0, ,
us,6,1,0,0,0,5,1,0,0,0,3,2,0,1,0, ,
Ã¢,6,0,0,0,0,6,0,0,0,0,4,2,0,0,0, ,
Â_,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0, ,
action,6,0,0,0,0,4,2,0,0,0,4,1,1,0,0, ,
around,6,0,0,0,0,3,2,1,0,0,2,3,0,1,0, ,
date,6,0,0,0,0,4,2,0,0,0,5,1,0,0,0, ,
deleted,6,0,0,0,0,4,2,0,0,0,3,1,1,1,0, ,
element,6,0,0,0,0,5,1,0,0,0,4,2,0,0,0, ,
expected,6,0,0,0,0,4,2,0,0,0,4,2,0,0,0, ,
far,6,0,0,0,0,3,3,0,0,0,3,1,2,0,0, ,
feel,6,0,0,0,0,3,3,0,0,0,6,0,0,0,0, ,
git,6,0,0,0,0,5,1,0,0,0,6,0,0,0,0, ,
header,6,0,0,0,0,5,1,0,0,0,4,2,0,0,0, ,
html,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0, ,
indentation,6,0,0,0,0,2,4,0,0,0,1,5,0,0,0, ,
later,6,0,0,0,0,4,0,2,0,0,3,3,0,0,0, ,
latest,6,0,0,0,0,5,1,0,0,0,4,2,0,0,0, ,
looking,6,0,0,0,0,4,2,0,0,0,3,2,1,0,0, ,
mention,6,0,0,0,0,3,3,0,0,0,4,2,0,0,0, ,
moved,6,0,0,0,0,6,0,0,0,0,2,4,0,0,0, ,
nice,6,0,0,0,0,0,5,1,0,0,2,3,1,0,0, ,
operation,6,0,0,0,0,4,2,0,0,0,2,4,0,0,0, ,
optional,6,0,0,0,0,5,1,0,0,0,5,1,0,0,0, ,
own,6,0,0,0,0,3,3,0,0,0,4,1,1,0,0, ,
parent,6,0,0,0,0,6,0,0,0,0,5,1,0,0,0, ,
parse,6,0,0,0,0,3,3,0,0,0,2,3,1,0,0, ,
pointer,6,0,0,0,0,4,2,0,0,0,4,2,0,0,0, ,
process,6,0,0,0,0,5,0,1,0,0,1,1,0,4,0, ,
replace,6,0,0,0,0,3,3,0,0,0,2,4,0,0,0, ,
seem,6,0,0,0,0,4,2,0,0,0,2,3,1,0,0, ,
setting,6,0,0,0,0,5,1,0,0,0,3,2,1,0,0, ,
simply,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0, ,
sorry,6,0,0,0,0,4,2,0,0,0,0,5,1,0,0, ,
space,6,0,0,0,0,5,1,0,0,0,5,1,0,0,0, ,
spaces,6,0,0,0,0,4,2,0,0,0,6,0,0,0,0, ,
text,6,0,0,0,0,4,2,0,0,0,4,2,0,0,0, ,
ui,6,0,0,0,0,6,0,0,0,0,3,3,0,0,0, ,
unless,6,0,0,0,0,1,5,0,0,0,3,3,0,0,0, ,
wasn't,6,0,0,0,0,3,3,0,0,0,1,4,0,1,0, ,
were,6,0,0,0,0,2,4,0,0,0,4,1,1,0,0, ,
conversion,6,-2,0,0,0,1,5,0,0,0,1,5,0,0,0, ,
download,5,6,0,0,0,1,1,3,0,0,2,3,0,0,0, ,
flag,5,3,0,0,0,3,1,1,0,0,3,2,0,0,0, ,
additional,5,2,0,0,0,2,3,0,0,0,4,1,0,0,0, ,
main,5,2,0,0,0,3,1,1,0,0,2,2,1,0,0, ,
over,5,2,0,0,0,3,2,0,0,0,2,3,0,0,0, ,
query,5,2,0,0,0,3,2,0,0,0,5,0,0,0,0, ,
appropriate,5,1,0,0,0,3,2,0,0,0,3,2,0,0,0, ,
away,5,1,0,0,0,2,3,0,0,0,0,4,1,0,0, ,
request,5,1,0,0,0,1,4,0,0,0,1,3,1,0,0, ,
says,5,1,0,0,0,3,2,0,0,0,3,1,1,0,0, ,
;),5,0,0,0,0,4,1,0,0,0,5,0,0,0,0, ,
},5,0,0,0,0,4,1,0,0,0,5,0,0,0,0, ,
`,5,0,0,0,0,2,3,0,0,0,3,0,2,0,0, ,
â€_,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0, ,
able,5,0,0,0,0,3,2,0,0,0,3,1,1,0,0, ,
attribute,5,0,0,0,0,4,1,0,0,0,2,3,0,0,0, ,
based,5,0,0,0,0,3,2,0,0,0,2,3,0,0,0, ,
broken,5,0,0,0,0,5,0,0,0,0,0,2,1,2,0, ,
changing,5,0,0,0,0,3,2,0,0,0,0,5,0,0,0, ,
checked,5,0,0,0,0,3,2,0,0,0,4,0,0,1,0, ,
clearer,5,0,0,0,0,2,2,1,0,0,4,1,0,0,0, ,
constructor,5,0,0,0,0,4,1,0,0,0,1,4,0,0,0, ,
css,5,0,0,0,0,4,1,0,0,0,4,1,0,0,0, ,
docs,5,0,0,0,0,5,0,0,0,0,4,1,0,0,0, ,
driver,5,0,0,0,0,2,3,0,0,0,2,3,0,0,0, ,
entity,5,0,0,0,0,4,1,0,0,0,1,4,0,0,0, ,
explicit,5,0,0,0,0,4,1,0,0,0,4,0,1,0,0, ,
export,5,0,0,0,0,5,0,0,0,0,2,3,0,0,0, ,
failed,5,0,0,0,0,1,4,0,0,0,0,0,5,0,0, ,
happen,5,0,0,0,0,1,4,0,0,0,1,3,0,1,0, ,
helper,5,0,0,0,0,2,3,0,0,0,4,1,0,0,0, ,
kind,5,0,0,0,0,0,5,0,0,0,2,1,1,1,0, ,
lock,5,0,0,0,0,4,1,0,0,0,2,3,0,0,0, ,
logging,5,0,0,0,0,5,0,0,0,0,4,0,1,0,0, ,
looked,5,0,0,0,0,4,1,0,0,0,3,2,0,0,0, ,
meant,5,0,0,0,0,3,2,0,0,0,3,1,1,0,0, ,
merge,5,0,0,0,0,4,0,1,0,0,3,1,0,1,0, ,
model,5,0,0,0,0,3,2,0,0,0,3,2,0,0,0, ,
modified,5,0,0,0,0,4,1,0,0,0,3,2,0,0,0, ,
newline,5,0,0,0,0,2,3,0,0,0,3,2,0,0,0, ,
node,5,0,0,0,0,4,1,0,0,0,5,0,0,0,0, ,
openstack,5,0,0,0,0,3,2,0,0,0,4,1,0,0,0, ,
original,5,0,0,0,0,4,1,0,0,0,4,0,1,0,0, ,
permission,5,0,0,0,0,3,2,0,0,0,5,0,0,0,0, ,
plugin,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0, ,
print,5,0,0,0,0,4,1,0,0,0,3,2,0,0,0, ,
property,5,0,0,0,0,2,3,0,0,0,2,1,2,0,0, ,
redundant,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0, ,
report,5,0,0,0,0,4,0,1,0,0,2,3,0,0,0, ,
require,5,0,0,0,0,4,1,0,0,0,2,3,0,0,0, ,
results,5,0,0,0,0,4,1,0,0,0,2,3,0,0,0, ,
separate,5,0,0,0,0,4,1,0,0,0,3,2,0,0,0, ,
side,5,0,0,0,0,3,2,0,0,0,4,1,0,0,0, ,
source,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0, ,
tags,5,0,0,0,0,2,3,0,0,0,4,0,1,0,0, ,
term,5,0,0,0,0,5,0,0,0,0,1,4,0,0,0, ,
thrown,5,0,0,0,0,2,3,0,0,0,1,2,1,1,0, ,
together,5,0,0,0,0,5,0,0,0,0,3,2,0,0,0, ,
token,5,0,0,0,0,3,2,0,0,0,5,0,0,0,0, ,
url,5,0,0,0,0,3,2,0,0,0,3,2,0,0,0, ,
useful,5,0,0,0,0,0,4,1,0,0,1,2,1,1,0, ,
usually,5,0,0,0,0,4,1,0,0,0,3,2,0,0,0, ,
w,5,0,0,0,0,5,0,0,0,0,4,1,0,0,0, ,
wiki,5,0,0,0,0,4,1,0,0,0,4,1,0,0,0, ,
word,5,0,0,0,0,2,3,0,0,0,2,3,0,0,0, ,
working,5,0,0,0,0,5,0,0,0,0,2,3,0,0,0, ,
anymore,5,-1,0,0,0,3,2,0,0,0,2,3,0,0,0, ,
definition,5,-1,0,0,0,2,3,0,0,0,4,1,0,0,0, ,
executed,5,-1,0,0,0,4,1,0,0,0,0,4,1,0,0, ,
10,4,2,0,0,0,3,0,1,0,0,3,1,0,0,0, ,
course,4,2,0,0,0,1,2,1,0,0,1,3,0,0,0, ,
implemented,4,2,0,0,0,1,2,1,0,0,2,1,0,1,0, ,
append,4,1,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
handler,4,1,0,0,0,1,3,0,0,0,4,0,0,0,0, ,
hosts,4,1,0,0,0,2,2,0,0,0,2,1,1,0,0, ,
least,4,1,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
merged,4,1,0,0,0,2,1,1,0,0,4,0,0,0,0, ,
throw,4,1,0,0,0,2,2,0,0,0,1,2,0,1,0, ,
unrelated,4,1,0,0,0,3,1,0,0,0,3,0,0,1,0, ,
vs,4,1,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
8,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
16,4,0,0,0,0,3,1,0,0,0,0,4,0,0,0, ,
$globals,4,0,0,0,0,3,1,0,0,0,4,0,0,0,0, ,
Ã°ÂµÃ°,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0, ,
Â_,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0, ,
afterwards,4,0,0,0,0,0,3,1,0,0,0,4,0,0,0, ,
allocation,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0, ,
anyone,4,0,0,0,0,2,2,0,0,0,2,1,1,0,0, ,
backend,4,0,0,0,0,1,3,0,0,0,3,0,1,0,0, ,
behavior,4,0,0,0,0,2,2,0,0,0,0,2,2,0,0, ,
between,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
blank,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0, ,
bool,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0, ,
cast,4,0,0,0,0,3,1,0,0,0,2,2,0,0,0, ,
client,4,0,0,0,0,2,2,0,0,0,3,0,1,0,0, ,
commented,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0, ,
completely,4,0,0,0,0,2,2,0,0,0,2,0,2,0,0, ,
concerns,4,0,0,0,0,3,1,0,0,0,0,4,0,0,0, ,
contains,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
copied,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
correctly,4,0,0,0,0,3,0,1,0,0,3,1,0,0,0, ,
cx,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0, ,
d,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0, ,
described,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
discussed,4,0,0,0,0,2,2,0,0,0,2,1,1,0,0, ,
documented,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
drop,4,0,0,0,0,3,1,0,0,0,0,4,0,0,0, ,
edit,4,0,0,0,0,2,1,1,0,0,2,2,0,0,0, ,
email,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0, ,
english,4,0,0,0,0,2,2,0,0,0,2,2,0,0,0, ,
environment,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
exact,4,0,0,0,0,1,3,0,0,0,4,0,0,0,0, ,
executable,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0, ,
finally,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
followed,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
form,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
found,4,0,0,0,0,1,3,0,0,0,2,1,1,0,0, ,
google,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0, ,
he,4,0,0,0,0,4,0,0,0,0,1,3,0,0,0, ,
help,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
helps,4,0,0,0,0,4,0,0,0,0,3,0,1,0,0, ,
however,4,0,0,0,0,2,2,0,0,0,2,2,0,0,0, ,
hurt,4,0,0,0,0,3,1,0,0,0,1,2,1,0,0, ,
ï¿_,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0, ,
image,4,0,0,0,0,2,2,0,0,0,2,2,0,0,0, ,
including,4,0,0,0,0,1,3,0,0,0,1,3,0,0,0, ,
internal,4,0,0,0,0,3,1,0,0,0,2,2,0,0,0, ,
introduce,4,0,0,0,0,1,3,0,0,0,2,2,0,0,0, ,
itself,4,0,0,0,0,1,3,0,0,0,4,0,0,0,0, ,
join,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
kwstyle,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0, ,
let's,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
lets,4,0,0,0,0,4,0,0,0,0,2,1,1,0,0, ,
longer,4,0,0,0,0,3,1,0,0,0,2,2,0,0,0, ,
lots,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0, ,
maintenance,4,0,0,0,0,1,3,0,0,0,2,2,0,0,0, ,
map,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0, ,
mgr,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0, ,
missed,4,0,0,0,0,1,3,0,0,0,0,3,0,1,0, ,
mode,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
multiple,4,0,0,0,0,4,0,0,0,0,1,3,0,0,0, ,
n,4,0,0,0,0,2,2,0,0,0,1,2,1,0,0, ,
ooxml,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0, ,
pattern,4,0,0,0,0,3,1,0,0,0,2,1,1,0,0, ,
performance,4,0,0,0,0,3,1,0,0,0,2,2,0,0,0, ,
pick,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0, ,
platform,4,0,0,0,0,3,1,0,0,0,2,2,0,0,0, ,
possibly,4,0,0,0,0,3,1,0,0,0,0,2,0,2,0, ,
program,4,0,0,0,0,2,2,0,0,0,0,3,0,1,0, ,
projects,4,0,0,0,0,3,1,0,0,0,3,0,1,0,0, ,
putting,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
qobject,4,0,0,0,0,1,3,0,0,0,3,1,0,0,0, ,
radio,4,0,0,0,0,3,1,0,0,0,1,3,0,0,0, ,
related,4,0,0,0,0,2,2,0,0,0,1,3,0,0,0, ,
resources,4,0,0,0,0,3,1,0,0,0,1,3,0,0,0, ,
response,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
returning,4,0,0,0,0,3,1,0,0,0,2,2,0,0,0, ,
schema,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0, ,
second,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
software,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0, ,
solution,4,0,0,0,0,1,3,0,0,0,1,3,0,0,0, ,
step,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
stuff,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
suggestion,4,0,0,0,0,3,1,0,0,0,4,0,0,0,0, ,
suppose,4,0,0,0,0,2,2,0,0,0,2,2,0,0,0, ,
tag,4,0,0,0,0,3,1,0,0,0,2,1,1,0,0, ,
target,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0, ,
tenant,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0, ,
three,4,0,0,0,0,3,1,0,0,0,4,0,0,0,0, ,
tool,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0, ,
tools,4,0,0,0,0,2,2,0,0,0,3,1,0,0,0, ,
trailing,4,0,0,0,0,3,1,0,0,0,2,2,0,0,0, ,
transform,4,0,0,0,0,4,0,0,0,0,1,3,0,0,0, ,
trigger,4,0,0,0,0,2,2,0,0,0,0,3,1,0,0, ,
tst,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0, ,
updated,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0, ,
upstream,4,0,0,0,0,1,3,0,0,0,1,2,1,0,0, ,
var,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
vds,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0, ,
weird,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0, ,
zero,4,0,0,0,0,4,0,0,0,0,2,0,1,1,0, ,
paste,4,-1,0,0,0,3,1,0,0,0,1,3,0,0,0, ,
unused,4,-1,0,0,0,3,1,0,0,0,3,1,0,0,0, ,
:-),4,-2,0,0,0,2,1,1,0,0,3,1,0,0,0, ,
11,3,4,0,0,0,1,0,2,0,0,3,0,0,0,0, ,
machine,3,3,0,0,0,0,1,2,0,0,1,2,0,0,0, ,
approach,3,2,0,0,0,2,0,1,0,0,0,2,0,1,0, ,
brackets,3,2,0,0,0,1,2,0,0,0,3,0,0,0,0, ,
desktop,3,2,0,0,0,1,2,0,0,0,3,0,0,0,0, ,
downloading,3,2,0,0,0,2,0,1,0,0,0,1,0,2,0, ,
fully,3,2,0,0,0,1,1,1,0,0,1,2,0,0,0, ,
imported,3,2,0,0,0,2,0,1,0,0,3,0,0,0,0, ,
rpc,3,2,0,0,0,1,1,1,0,0,0,2,1,0,0, ,
sync,3,2,0,0,0,1,1,1,0,0,0,2,1,0,0, ,
wrote,3,2,0,0,0,2,0,1,0,0,1,2,0,0,0, ,
cl,3,1,0,0,0,0,2,1,0,0,2,0,1,0,0, ,
commits,3,1,0,0,0,1,2,0,0,0,1,1,1,0,0, ,
constant,3,1,0,0,0,1,2,0,0,0,2,1,0,0,0, ,
contain,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
convention,3,1,0,0,0,1,2,0,0,0,2,1,0,0,0, ,
either,3,1,0,0,0,1,2,0,0,0,3,0,0,0,0, ,
external,3,1,0,0,0,2,1,0,0,0,2,0,1,0,0, ,
give,3,1,0,0,0,2,1,0,0,0,2,0,0,1,0, ,
got,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
hash,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
logs,3,1,0,0,0,1,2,0,0,0,3,0,0,0,0, ,
minor,3,1,0,0,0,0,3,0,0,0,1,2,0,0,0, ,
named,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
options,3,1,0,0,0,1,1,1,0,0,1,2,0,0,0, ,
parentheses,3,1,0,0,0,1,2,0,0,0,2,1,0,0,0, ,
particular,3,1,0,0,0,0,3,0,0,0,1,2,0,0,0, ,
reduce,3,1,0,0,0,1,2,0,0,0,2,1,0,0,0, ,
removal,3,1,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
submitted,3,1,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
thread,3,1,0,0,0,1,2,0,0,0,1,2,0,0,0, ,
under,3,1,0,0,0,1,2,0,0,0,2,1,0,0,0, ,
13,3,0,0,0,0,2,1,0,0,0,1,0,2,0,0, ,
$this,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
Â»,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
Â_,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
accept,3,0,0,0,0,3,0,0,0,0,2,0,1,0,0, ,
accountcache,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0, ,
across,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
address,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0, ,
admin,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
administrator,3,0,0,0,0,0,3,0,0,0,1,2,0,0,0, ,
affect,3,0,0,0,0,1,2,0,0,0,0,3,0,0,0, ,
allow,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0, ,
apply,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
arrays,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0, ,
assignment,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
best,3,0,0,0,0,0,3,0,0,0,1,2,0,0,0, ,
big,3,0,0,0,0,1,2,0,0,0,1,1,1,0,0, ,
branches,3,0,0,0,0,0,3,0,0,0,0,2,1,0,0, ,
built,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
bulk,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0, ,
bytes,3,0,0,0,0,2,0,1,0,0,2,1,0,0,0, ,
cause,3,0,0,0,0,2,1,0,0,0,0,3,0,0,0, ,
char,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0, ,
children,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
cleanup,3,0,0,0,0,2,1,0,0,0,1,1,1,0,0, ,
cmd,3,0,0,0,0,1,2,0,0,0,2,0,0,1,0, ,
collections,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
combine,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
coming,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
comma,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
compare,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0, ,
compared,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0, ,
comparisons,3,0,0,0,0,0,3,0,0,0,2,1,0,0,0, ,
configuration,3,0,0,0,0,3,0,0,0,0,2,0,1,0,0, ,
confusing,3,0,0,0,0,1,2,0,0,0,0,2,1,0,0, ,
considered,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0, ,
consistency,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
control,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
corresponding,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
cp,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
ctor,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
database,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0, ,
dd,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
depending,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0, ,
deprecated,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
describe,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
dict,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
differently,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
discovered,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0, ,
docstring,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
dt,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
easy,3,0,0,0,0,2,1,0,0,0,2,0,1,0,0, ,
effects,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
elements,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0, ,
enable,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
entities,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0, ,
exactly,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0, ,
examples,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
exceptions,3,0,0,0,0,1,2,0,0,0,1,2,0,0,0, ,
explaining,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
explicitly,3,0,0,0,0,0,3,0,0,0,2,0,1,0,0, ,
fact,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0, ,
failure,3,0,0,0,0,2,1,0,0,0,0,0,3,0,0, ,
feels,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0, ,
fixes,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0, ,
flow,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
folder,3,0,0,0,0,1,2,0,0,0,1,1,0,1,0, ,
functionality,3,0,0,0,0,2,1,0,0,0,0,1,1,1,0, ,
funny,3,0,0,0,0,0,1,2,0,0,3,0,0,0,0, ,
general,3,0,0,0,0,1,2,0,0,0,2,1,0,0,0, ,
goes,3,0,0,0,0,3,0,0,0,0,1,1,1,0,0, ,
h,3,0,0,0,0,1,2,0,0,0,3,0,0,0,0, ,
hard,3,0,0,0,0,1,2,0,0,0,2,0,1,0,0, ,
heap,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0, ,
hold,3,0,0,0,0,2,0,1,0,0,3,0,0,0,0, ,
imho,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0, ,
immediately,3,0,0,0,0,1,1,1,0,0,2,1,0,0,0, ,
imo,3,0,0,0,0,1,2,0,0,0,1,2,0,0,0, ,
impact,3,0,0,0,0,1,1,1,0,0,3,0,0,0,0, ,
implementation,3,0,0,0,0,2,1,0,0,0,2,0,1,0,0, ,
implied,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
important,3,0,0,0,0,1,2,0,0,0,3,0,0,0,0, ,
indent,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
info,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
insert,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0, ,
instance,3,0,0,0,0,3,0,0,0,0,2,0,1,0,0, ,
instances,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
intended,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
java,3,0,0,0,0,1,2,0,0,0,3,0,0,0,0, ,
job,3,0,0,0,0,1,2,0,0,0,0,1,2,0,0, ,
kill,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0, ,
large,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0, ,
linked,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0, ,
literal,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
loading,3,0,0,0,0,2,1,0,0,0,0,2,1,0,0, ,
manager,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
marks,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
mediawiki,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
mentioned,3,0,0,0,0,3,0,0,0,0,2,1,0,0,0, ,
metadata,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
minimize,3,0,0,0,0,2,1,0,0,0,2,0,1,0,0, ,
minutes,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0, ,
mock,3,0,0,0,0,2,1,0,0,0,0,0,3,0,0, ,
modules,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
mw,3,0,0,0,0,1,2,0,0,0,1,2,0,0,0, ,
names,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
newly,3,0,0,0,0,1,2,0,0,0,2,1,0,0,0, ,
nothing,3,0,0,0,0,0,3,0,0,0,1,2,0,0,0, ,
notice,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0, ,
numeric,3,0,0,0,0,3,0,0,0,0,0,2,1,0,0, ,
open,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
openbsd,3,0,0,0,0,2,1,0,0,0,0,3,0,0,0, ,
opinion,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0, ,
originally,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0, ,
oslo,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0, ,
pages,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0, ,
