Term	TermFreq >= 1	PosClassDiff (correct-estimate)	NegClassDiff	PosClassAvDiff	NegClassAvDiff	CorrectClass1pos	CorrectClass2pos	CorrectClass3pos	CorrectClass4pos	CorrectClass5pos	CorrectClass1neg	CorrectClass2neg	CorrectClass3neg	CorrectClass4neg	CorrectClass5neg	
means	21	8	3	0.3809524	0.14285715	14	5	2	0	0	11	9	0	1	0	
outside	11	0	2	0.0	0.18181819	9	1	0	1	0	4	6	1	0	0	
addr	3	0	0	0.0	0.0	3	0	0	0	0	3	0	0	0	0	
both	40	2	1	0.05	0.025	27	9	2	2	0	22	14	4	0	0	
dest	3	6	0	2.0	0.0	0	0	3	0	0	3	0	0	0	0	
gateway	1	0	0	0.0	0.0	1	0	0	0	0	0	0	1	0	0	
though	16	1	3	0.0625	0.1875	9	6	1	0	0	9	5	1	1	0	
host	9	1	0	0.11111111	0.0	4	5	0	0	0	4	4	1	0	0	
curious	2	0	-1	0.0	-0.5	2	0	0	0	0	2	0	0	0	0	
come	8	0	-1	0.0	-0.125	6	2	0	0	0	6	1	0	0	1	
simpler	6	0	-1	0.0	-0.16666667	5	1	0	0	0	5	1	0	0	0	
guava	4	0	-1	0.0	-0.25	3	1	0	0	0	2	1	1	0	0	
lint	3	0	-1	0.0	-0.33333334	3	0	0	0	0	2	1	0	0	0	
):	3	2	1	0.6666667	0.33333334	1	2	0	0	0	1	1	0	1	0	
us	14	2	0	0.14285715	0.0	9	4	0	1	0	10	3	0	1	0	
io	6	0	0	0.0	0.0	4	2	0	0	0	5	1	0	0	0	
templatizing	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
smaller	3	1	1	0.33333334	0.33333334	2	1	0	0	0	2	1	0	0	0	
member	10	1	3	0.1	0.3	7	1	0	2	0	2	8	0	0	0	
displayable	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
ideal	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
internal	11	0	0	0.0	0.0	8	2	0	1	0	6	4	1	0	0	
getnoninternalfieldmodifiers	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
given	13	2	2	0.15384616	0.15384616	9	2	1	1	0	8	4	1	0	0	
hidden	3	0	1	0.0	0.33333334	1	2	0	0	0	0	3	0	0	0	
comments	25	3	3	0.12	0.12	17	6	0	2	0	18	6	0	1	0	
clear	17	1	0	0.05882353	0.0	9	6	0	2	0	14	3	0	0	0	
act	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
suggestion	8	0	0	0.0	0.0	4	3	0	1	0	4	2	2	0	0	
ignore	8	0	1	0.0	0.125	6	1	0	1	0	5	2	1	0	0	
later	20	1	0	0.05	0.0	12	5	2	1	0	12	4	3	0	1	
draft	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
reg	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
gettype	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
minimal	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
multlib	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
turn	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
target	5	0	0	0.0	0.0	5	0	0	0	0	3	2	0	0	0	
variable	30	3	0	0.1	0.0	17	11	1	1	0	21	8	1	0	0	
private	11	1	1	0.09090909	0.09090909	6	5	0	0	0	9	2	0	0	0	
merge	8	1	0	0.125	0.0	6	1	1	0	0	5	2	0	1	0	
taking	5	0	0	0.0	0.0	1	3	0	1	0	3	1	1	0	0	
auto	8	0	1	0.0	0.125	3	4	0	1	0	5	1	2	0	0	
stub	2	0	0	0.0	0.0	0	2	0	0	0	0	0	2	0	0	
hurt	5	0	0	0.0	0.0	4	1	0	0	0	2	2	1	0	0	
anyone	5	0	0	0.0	0.0	2	3	0	0	0	2	2	1	0	0	
dead	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
syscall	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
returns	19	2	2	0.10526316	0.10526316	9	10	0	0	0	13	4	2	0	0	
arguably	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
confusing	10	0	0	0.0	0.0	5	5	0	0	0	0	0	10	0	0	
insisting	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
supplying	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
show	9	2	0	0.22222222	0.0	6	3	0	0	0	7	1	1	0	0	
message	54	3	8	0.055555556	0.14814815	40	11	1	2	0	32	17	5	0	0	
reason	31	6	4	0.19354838	0.12903225	13	11	1	4	2	16	12	3	0	0	
packageapplication	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
co	2	0	0	0.0	0.0	1	1	0	0	0	1	1	0	0	0	
located	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
correctness	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
start	25	7	4	0.28	0.16	11	7	4	3	0	14	9	2	0	0	
exist	13	0	0	0.0	0.0	6	6	1	0	0	9	4	0	0	0	
touch'ing	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
char	5	0	1	0.0	0.2	3	2	0	0	0	1	4	0	0	0	
gets	10	0	3	0.0	0.3	5	1	3	1	0	3	3	2	2	0	
difficult	3	0	0	0.0	0.0	1	2	0	0	0	0	3	0	0	0	
figure	7	0	1	0.0	0.14285715	6	1	0	0	0	3	4	0	0	0	
appears	3	0	0	0.0	0.0	2	1	0	0	0	3	0	0	0	0	
earlier	8	2	1	0.25	0.125	5	1	0	1	1	3	5	0	0	0	
prelinking	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
security	3	0	0	0.0	0.0	0	3	0	0	0	3	0	0	0	0	
platform	7	4	4	0.5714286	0.5714286	3	2	2	0	0	2	3	2	0	0	
exit	3	1	0	0.33333334	0.0	2	1	0	0	0	1	2	0	0	0	
continue	8	1	0	0.125	0.0	5	3	0	0	0	4	3	1	0	0	
loop	19	1	2	0.05263158	0.10526316	11	8	0	0	0	12	2	5	0	0	
final	5	0	1	0.0	0.2	4	1	0	0	0	2	2	1	0	0	
v	2	1	0	0.5	0.0	1	1	0	0	0	2	0	0	0	0	
write	20	4	4	0.2	0.2	11	6	1	2	0	11	8	1	0	0	
conflict	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
happen	9	0	0	0.0	0.0	5	4	0	0	0	3	4	1	1	0	
during	11	3	2	0.27272728	0.18181819	8	2	1	0	0	5	5	1	0	0	
setup	6	0	0	0.0	0.0	3	2	0	1	0	4	2	0	0	0	
subsequent	5	1	0	0.2	0.0	3	2	0	0	0	3	2	0	0	0	
iteration	2	0	0	0.0	0.0	1	1	0	0	0	1	0	1	0	0	
bother	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
func	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
y	3	0	2	0.0	0.6666667	1	2	0	0	0	0	3	0	0	0	
race	3	0	1	0.0	0.33333334	3	0	0	0	0	2	1	0	0	0	
second	10	0	0	0.0	0.0	4	6	0	0	0	7	3	0	0	0	
goroutine	2	0	0	0.0	0.0	0	2	0	0	0	0	1	1	0	0	
guaranteed	4	1	1	0.25	0.25	3	1	0	0	0	2	2	0	0	0	
between	17	0	0	0.0	0.0	12	3	0	2	0	10	5	2	0	0	
detect	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
100	2	0	0	0.0	0.0	2	0	0	0	0	1	1	0	0	0	
filed	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
fixes	4	0	0	0.0	0.0	4	0	0	0	0	2	2	0	0	0	
thinks	3	0	0	0.0	0.0	2	1	0	0	0	1	1	1	0	0	
spec	3	1	0	0.33333334	0.0	1	2	0	0	0	1	1	1	0	0	
says	7	1	0	0.14285715	0.0	5	2	0	0	0	5	2	0	0	0	
critical	5	1	0	0.2	0.0	2	3	0	0	0	0	5	0	0	0	
extensions	5	1	2	0.2	0.4	3	1	1	0	0	2	3	0	0	0	
named	6	2	0	0.33333334	0.0	3	3	0	0	0	5	1	0	0	0	
structures	1	1	0	1.0	0.0	0	1	0	0	0	0	1	0	0	0	
empty	26	0	0	0.0	0.0	19	6	1	0	0	17	8	1	0	0	
values	12	0	0	0.0	0.0	0	11	0	1	0	8	3	1	0	0	
prefix	7	5	4	0.71428573	0.5714286	4	1	1	1	0	4	2	0	1	0	
regarding	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
current	14	1	1	0.071428575	0.071428575	5	8	0	1	0	8	2	4	0	0	
wanted	6	0	0	0.0	0.0	4	2	0	0	0	3	2	1	0	0	
properly	4	1	1	0.25	0.25	2	2	0	0	0	1	2	1	0	0	
low	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
level	19	1	1	0.05263158	0.05263158	16	2	0	1	0	8	7	4	0	0	
handling	8	0	1	0.0	0.125	6	2	0	0	0	7	1	0	0	0	
instance	10	0	0	0.0	0.0	9	1	0	0	0	4	5	1	0	0	
structure	6	0	1	0.0	0.16666667	3	2	0	1	0	4	2	0	0	0	
unmarshal	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
lowercase	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
sentence	7	1	0	0.14285715	0.0	5	2	0	0	0	6	1	0	0	0	
period	3	2	0	0.6666667	0.0	1	2	0	0	0	2	1	0	0	0	
places	15	0	1	0.0	0.06666667	10	3	0	2	0	8	6	1	0	0	
difference	8	2	0	0.25	0.0	6	2	0	0	0	5	3	0	0	0	
norm	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
20	3	0	0	0.0	0.0	3	0	0	0	0	3	0	0	0	0	
20k	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
language	12	4	8	0.33333334	0.6666667	5	7	0	0	0	6	1	5	0	0	
tables	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
i've	21	2	4	0.0952381	0.1904762	14	5	1	1	0	11	9	1	0	0	
simplified	3	1	2	0.33333334	0.6666667	1	2	0	0	0	1	1	1	0	0	
affected	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
separately	4	1	0	0.25	0.0	3	1	0	0	0	2	1	1	0	0	
lot	10	1	2	0.1	0.2	6	3	0	1	0	4	6	0	0	0	
again	19	0	0	0.0	0.0	14	4	1	0	0	12	5	0	2	0	
verify	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
bottom	2	0	0	0.0	0.0	1	1	0	0	0	1	1	0	0	0	
fake	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
invalid	17	0	0	0.0	0.0	10	5	2	0	0	0	0	17	0	0	
desired	2	0	0	0.0	0.0	1	1	0	0	0	1	0	1	0	0	
abandoned	3	2	0	0.6666667	0.0	0	3	0	0	0	0	2	1	0	0	
omit	2	0	0	0.0	0.0	2	0	0	0	0	0	2	0	0	0	
er	3	1	0	0.33333334	0.0	2	1	0	0	0	2	1	0	0	0	
meaningless	2	0	0	0.0	0.0	1	1	0	0	0	0	2	0	0	0	
possibly	7	0	0	0.0	0.0	2	5	0	0	0	2	3	0	2	0	
misleading	2	0	0	0.0	0.0	1	1	0	0	0	1	1	0	0	0	
idea	15	0	2	0.0	0.13333334	5	3	0	7	0	9	4	1	1	0	
gcmark	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
phase	2	0	0	0.0	0.0	0	2	0	0	0	0	2	0	0	0	
longer	10	0	0	0.0	0.0	7	2	0	1	0	6	3	0	1	0	
grunning	2	0	0	0.0	0.0	1	1	0	0	0	1	1	0	0	0	
scan	2	0	0	0.0	0.0	1	1	0	0	0	0	2	0	0	0	
waiting	4	0	0	0.0	0.0	1	3	0	0	0	1	3	0	0	0	
stw	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
gcmarktermination	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
upon	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
reflection	2	0	0	0.0	0.0	0	2	0	0	0	1	1	0	0	0	
concerns	4	0	0	0.0	0.0	3	1	0	0	0	0	3	1	0	0	
slowing	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
preemption	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
deleting	2	0	0	0.0	0.0	1	1	0	0	0	0	2	0	0	0	
valuable	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
sorry	16	1	0	0.0625	0.0	11	5	0	0	0	0	12	4	0	0	
paying	2	0	0	0.0	0.0	1	1	0	0	0	0	1	0	0	1	
attention	2	0	0	0.0	0.0	1	1	0	0	0	0	1	0	0	1	
clearly	4	0	1	0.0	0.25	4	0	0	0	0	0	4	0	0	0	
param	11	2	3	0.18181819	0.27272728	8	3	0	0	0	6	3	2	0	0	
moved	13	1	0	0.07692308	0.0	11	1	0	1	0	9	3	1	0	0	
assumed	2	0	0	0.0	0.0	1	1	0	0	0	0	2	0	0	0	
esc	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
escheap	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
therefore	4	0	0	0.0	0.0	3	1	0	0	0	2	2	0	0	0	
implement	6	0	1	0.0	0.16666667	3	3	0	0	0	3	3	0	0	0	
implements	3	0	0	0.0	0.0	2	1	0	0	0	2	1	0	0	0	
unmarshaljson	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
int	11	0	1	0.0	0.09090909	8	2	0	1	0	8	2	1	0	0	
float64	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
returning	6	0	0	0.0	0.0	3	3	0	0	0	5	1	0	0	0	
unexpected	2	0	0	0.0	0.0	2	0	0	0	0	1	1	0	0	0	
g	22	4	3	0.18181819	0.13636364	17	4	1	0	0	12	4	6	0	0	
json	14	1	1	0.071428575	0.071428575	10	4	0	0	0	9	5	0	0	0	
bool	5	0	0	0.0	0.0	5	0	0	0	0	2	2	1	0	0	
importsset	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
pkgset	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
create	26	2	2	0.07692308	0.07692308	15	10	1	0	0	15	9	2	0	0	
duplicate	4	0	0	0.0	0.0	3	1	0	0	0	3	1	0	0	0	
sufficient	5	0	0	0.0	0.0	3	2	0	0	0	2	2	1	0	0	
returned	18	8	1	0.44444445	0.055555556	6	10	2	0	0	10	5	3	0	0	
valid	10	3	3	0.3	0.3	5	4	1	0	0	4	3	3	0	0	
limiting	3	3	1	1.0	0.33333334	1	0	0	1	1	0	3	0	0	0	
config's	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
life	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
letting	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
maintain	5	0	1	0.0	0.2	5	0	0	0	0	0	3	2	0	0	
copy	15	-1	1	-0.06666667	0.06666667	12	1	1	1	0	9	6	0	0	0	
info	31	0	3	0.0	0.09677419	28	2	0	1	0	13	17	0	1	0	
event	4	0	2	0.0	0.5	3	1	0	0	0	2	1	1	0	0	
traceevgocreate	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
scenario	5	0	0	0.0	0.0	2	3	0	0	0	4	1	0	0	0	
can't	20	2	2	0.1	0.1	14	5	0	1	0	13	4	2	1	0	
access	13	1	2	0.07692308	0.15384616	8	5	0	0	0	9	3	1	0	0	
link	17	5	3	0.29411766	0.1764706	13	1	3	0	0	12	2	3	0	0	
merged	7	1	0	0.14285715	0.0	3	1	1	1	1	7	0	0	0	0	
|	14	17	1	1.2142857	0.071428575	5	1	8	0	0	5	9	0	0	0	
supportedsignaturealgorithms	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
explaining	5	0	0	0.0	0.0	3	1	0	1	0	2	3	0	0	0	
order	12	1	0	0.083333336	0.0	8	4	0	0	0	7	5	0	0	0	
tickets	2	0	0	0.0	0.0	0	1	0	1	0	0	1	1	0	0	
fit	2	0	0	0.0	0.0	1	1	0	0	0	0	2	0	0	0	
delay	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
imported	4	2	0	0.5	0.0	3	0	1	0	0	4	0	0	0	0	
usually	8	3	3	0.375	0.375	5	2	0	1	0	3	4	0	1	0	
hear	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
register	4	0	0	0.0	0.0	2	2	0	0	0	2	2	0	0	0	
flags	7	0	0	0.0	0.0	6	0	0	1	0	4	2	1	0	0	
variables	16	0	1	0.0	0.0625	12	4	0	0	0	14	2	0	0	0	
obvious	8	1	0	0.125	0.0	5	3	0	0	0	6	1	1	0	0	
usage	7	3	1	0.42857143	0.14285715	3	3	1	0	0	2	3	0	2	0	
len	4	2	2	0.5	0.5	2	2	0	0	0	2	2	0	0	0	
reduces	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
accounts	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
60	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
require	7	0	0	0.0	0.0	5	1	0	1	0	3	4	0	0	0	
creating	9	2	4	0.22222222	0.44444445	2	6	1	0	0	2	5	0	1	1	
separate	25	0	1	0.0	0.04	16	8	0	1	0	14	10	1	0	0	
worth	8	0	0	0.0	0.0	6	1	0	1	0	6	1	1	0	0	
simply	16	2	3	0.125	0.1875	14	1	1	0	0	10	4	2	0	0	
drop	10	1	0	0.1	0.0	7	3	0	0	0	0	10	0	0	0	
sorted	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
guarantee	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
text	12	0	0	0.0	0.0	10	1	0	1	0	9	3	0	0	0	
repo	5	0	0	0.0	0.0	3	2	0	0	0	3	2	0	0	0	
compact	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
lists	4	0	0	0.0	0.0	1	2	0	1	0	3	0	1	0	0	
expect	6	0	0	0.0	0.0	5	1	0	0	0	3	2	0	1	0	
efficient	2	0	0	0.0	0.0	2	0	0	0	0	1	1	0	0	0	
space	26	0	2	0.0	0.07692308	21	4	1	0	0	16	9	1	0	0	
altogether	4	0	0	0.0	0.0	1	3	0	0	0	2	2	0	0	0	
buffer	4	0	0	0.0	0.0	4	0	0	0	0	4	0	0	0	0	
readable	8	1	1	0.125	0.125	6	2	0	0	0	4	3	1	0	0	
breaks	6	1	1	0.16666667	0.16666667	5	1	0	0	0	4	1	1	0	0	
reimplement	1	1	1	1.0	1.0	0	1	0	0	0	0	1	0	0	0	
yourself	5	1	1	0.2	0.2	3	2	0	0	0	1	3	1	0	0	
std	3	0	0	0.0	0.0	2	1	0	0	0	1	2	0	0	0	
fi	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
api	31	2	2	0.06451613	0.06451613	18	13	0	0	0	26	5	0	0	0	
alternative	6	1	1	0.16666667	0.16666667	4	2	0	0	0	4	2	0	0	0	
interface	15	8	6	0.53333336	0.4	6	5	2	2	0	9	4	0	2	0	
performance	8	0	0	0.0	0.0	7	1	0	0	0	4	4	0	0	0	
concern	2	0	0	0.0	0.0	1	1	0	0	0	0	1	1	0	0	
assertion	2	0	0	0.0	0.0	1	1	0	0	0	1	1	0	0	0	
switch	7	1	0	0.14285715	0.0	4	3	0	0	0	6	0	1	0	0	
image	6	0	0	0.0	0.0	4	2	0	0	0	3	3	0	0	0	
sure	59	5	9	0.084745765	0.15254237	39	16	3	1	0	41	13	4	1	0	
transform	4	0	0	0.0	0.0	4	0	0	0	0	2	2	0	0	0	
bulk	3	0	0	0.0	0.0	3	0	0	0	0	0	3	0	0	0	
depending	5	1	0	0.2	0.0	4	1	0	0	0	0	5	0	0	0	
input	12	2	1	0.16666667	0.083333336	6	5	1	0	0	4	7	1	0	0	
benefit	2	1	1	0.5	0.5	1	1	0	0	0	1	1	0	0	0	
append	5	1	0	0.2	0.0	4	1	0	0	0	4	1	0	0	0	
byte	4	2	0	0.5	0.0	3	0	1	0	0	4	0	0	0	0	
page	11	1	1	0.09090909	0.09090909	7	3	1	0	0	8	2	1	0	0	
shift	2	0	0	0.0	0.0	2	0	0	0	0	1	1	0	0	0	
range	6	9	3	1.5	0.5	1	2	0	0	3	2	4	0	0	0	
particular	7	4	1	0.5714286	0.14285715	3	3	0	0	1	3	4	0	0	0	
task	4	0	0	0.0	0.0	4	0	0	0	0	2	2	0	0	0	
title	13	1	8	0.07692308	0.61538464	8	3	0	2	0	7	3	1	2	0	
people	9	1	3	0.11111111	0.33333334	4	4	1	0	0	3	4	2	0	0	
design	2	0	0	0.0	0.0	2	0	0	0	0	0	1	1	0	0	
mgr	4	0	0	0.0	0.0	4	0	0	0	0	3	1	0	0	0	
svc	7	0	0	0.0	0.0	7	0	0	0	0	5	2	0	0	0	
total	2	0	0	0.0	0.0	1	1	0	0	0	1	1	0	0	0	
addrs	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
greater	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
floating	2	0	0	0.0	0.0	1	1	0	0	0	0	2	0	0	0	
becoming	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
negative	3	0	0	0.0	0.0	1	2	0	0	0	0	3	0	0	0	
worked	5	0	1	0.0	0.2	1	4	0	0	0	3	2	0	0	0	
islibrary	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
available	9	0	3	0.0	0.33333334	5	3	0	1	0	4	4	0	1	0	
linked	4	0	0	0.0	0.0	4	0	0	0	0	2	2	0	0	0	
shared	6	0	0	0.0	0.0	3	2	1	0	0	5	1	0	0	0	
forward	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
libraries	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
whose	4	2	2	0.5	0.5	1	2	1	0	0	2	1	1	0	0	
base	13	13	7	1.0	0.53846157	7	2	1	3	0	8	3	1	1	0	
fine	15	0	0	0.0	0.0	0	3	12	0	0	12	1	2	0	0	
reject	2	0	0	0.0	0.0	2	0	0	0	0	0	2	0	0	0	
long	12	3	0	0.25	0.0	8	2	2	0	0	7	5	0	0	0	
git	11	0	0	0.0	0.0	9	0	0	1	1	9	2	0	0	0	
origin	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
master	12	2	0	0.16666667	0.0	8	3	0	1	0	8	3	1	0	0	
rewriting	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
entire	9	2	1	0.22222222	0.11111111	6	2	1	0	0	6	3	0	0	0	
callees	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
general	6	0	0	0.0	0.0	2	4	0	0	0	4	2	0	0	0	
reading	5	0	0	0.0	0.0	2	3	0	0	0	3	2	0	0	0	
top	13	2	1	0.15384616	0.07692308	9	3	1	0	0	8	4	1	0	0	
gen	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
w	9	0	0	0.0	0.0	8	1	0	0	0	4	2	3	0	0	
o	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
blanks	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
readability	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
unify	3	0	0	0.0	0.0	2	1	0	0	0	3	0	0	0	0	
gcclock	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
gcmaxclock	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
gctimes	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
struct	9	1	2	0.11111111	0.22222222	7	2	0	0	0	5	1	3	0	0	
three	5	0	0	0.0	0.0	4	1	0	0	0	4	1	0	0	0	
var	7	0	0	0.0	0.0	5	2	0	0	0	3	2	2	0	0	
most	22	4	0	0.18181819	0.0	12	7	0	2	1	17	5	0	0	0	
fields	2	0	0	0.0	0.0	1	0	0	1	0	1	0	1	0	0	
belong	5	1	0	0.2	0.0	2	3	0	0	0	3	1	1	0	0	
clock	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
seem	15	0	0	0.0	0.0	9	6	0	0	0	10	4	1	0	0	
max	2	0	0	0.0	0.0	1	1	0	0	0	1	0	1	0	0	
computed	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
print	10	0	0	0.0	0.0	8	2	0	0	0	7	3	0	0	0	
globals	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
9753	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
msdn	2	1	0	0.5	0.0	1	1	0	0	0	2	0	0	0	0	
microsoft	2	1	0	0.5	0.0	1	1	0	0	0	2	0	0	0	0	
en	7	1	0	0.14285715	0.0	6	1	0	0	0	6	1	0	0	0	
desktop	3	2	0	0.6666667	0.0	1	2	0	0	0	3	0	0	0	0	
a365915	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
28v	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
vs	6	1	0	0.16666667	0.0	2	4	0	0	0	5	1	0	0	0	
85	2	1	0	0.5	0.0	1	1	0	0	0	2	0	0	0	0	
29	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
aspx	2	1	0	0.5	0.0	1	1	0	0	0	2	0	0	0	0	
required	10	0	0	0.0	0.0	9	1	0	0	0	7	3	0	0	0	
ip	4	1	1	0.25	0.25	2	2	0	0	0	3	0	1	0	0	
adapter	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
addresses	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
pointed	3	0	0	0.0	0.0	2	0	0	1	0	1	2	0	0	0	
parameter	29	0	2	0.0	0.06896552	24	5	0	0	0	20	8	1	0	0	
address	8	0	0	0.0	0.0	8	0	0	0	0	3	5	0	0	0	
requires	6	0	2	0.0	0.33333334	5	1	0	0	0	3	2	1	0	0	
times	7	0	1	0.0	0.14285715	5	2	0	0	0	3	4	0	0	0	
ugh	1	1	0	1.0	0.0	0	1	0	0	0	0	0	1	0	0	
http	22	0	0	0.0	0.0	17	3	1	1	0	15	6	1	0	0	
de	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
nss	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
fall	5	1	0	0.2	0.0	3	1	1	0	0	5	0	0	0	0	
cgo	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
existence	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
debug	14	0	1	0.0	0.071428575	12	1	0	1	0	8	4	2	0	0	
errant	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
tired	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
putting	6	0	0	0.0	0.0	4	2	0	0	0	3	3	0	0	0	
every	18	2	2	0.11111111	0.11111111	10	6	0	2	0	6	11	1	0	0	
came	3	0	0	0.0	0.0	3	0	0	0	0	2	1	0	0	0	
routine	8	0	2	0.0	0.25	6	2	0	0	0	2	5	1	0	0	
coalesce	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
key	14	0	1	0.0	0.071428575	8	5	0	1	0	10	4	0	0	0	
important	7	0	0	0.0	0.0	3	4	0	0	0	4	2	1	0	0	
conflicting	1	1	0	1.0	0.0	0	1	0	0	0	0	1	0	0	0	
